uuid,barcode
79bfddcc-1d7b-43a7-9221-8f230eca31d8,TCGA-A7-A0CD-01A-11R-A00Z-07
f63a40ad-26af-48d6-bb36-91fd91d32e6b,TCGA-E2-A1IG-11A-22R-A144-07
fed0a382-2eee-4acc-af00-53a9fdcd2a61,TCGA-D8-A1XL-01A-11R-A14M-07
263123b0-ec68-47cd-96dd-4f0795503d89,TCGA-B6-A0IP-01A-11R-A034-07
481c702a-58ee-4fab-9559-434a45615aa5,TCGA-E9-A1NF-01A-11R-A14D-07
a8a6308d-04e4-47e9-adb6-c895b605ad69,TCGA-E9-A1QZ-01A-21R-A169-07
ece7c643-e0b9-4b65-b6f5-89c414c1bfea,TCGA-D8-A1X6-01A-11R-A14M-07
da333184-1ddd-4cd7-9c0d-e4526a03a1c9,TCGA-A8-A0A9-01A-11R-A00Z-07
92fc6274-1d0f-4e1c-a124-9e5135753d99,TCGA-A2-A0ER-01A-21R-A034-07
58037e4a-a82f-42a9-84a1-715966343bd4,TCGA-E9-A1R2-01A-11R-A14D-07
ad1ea8c5-ca8b-49e9-a650-6012d71daf24,TCGA-AR-A0TS-01A-11R-A115-07
baec6a46-7c48-41ed-a8a9-eef52d32cba3,TCGA-A7-A0D9-11A-53R-A089-07
8a84b9a5-d453-416b-b481-f15402c2eb54,TCGA-BH-A1EU-11A-23R-A137-07
a2f1fa8f-26d6-4b3e-8816-33f42e3f9209,TCGA-BH-A18P-01A-11R-A12D-07
0a7dc8b9-4196-41d3-ada1-a50cb36bfd2b,TCGA-WT-AB44-01A-11R-A41B-07
41e79241-b5a4-4541-848b-e20e693e8ee3,TCGA-E2-A1IU-01A-11R-A14D-07
7286a685-17ef-4ef5-9b7b-2696c6e7e1a6,TCGA-PL-A8LV-01A-21R-A41B-07
2c74854f-4afe-48c3-9c81-d64634c14677,TCGA-OL-A6VQ-01A-12R-A41B-07
1aa289bb-8ac9-4e9e-be61-3164afbe06a2,TCGA-A7-A6VV-01A-22R-A33J-07
d84ce38f-afb8-4b1a-9a5f-f62d59577b3d,TCGA-BH-A0BV-01A-11R-A00Z-07
75d5bcb2-3055-4b6a-822c-1aa37a9f1337,TCGA-A2-A0EV-01A-11R-A034-07
0972f396-9045-4faa-98f8-e8c3e02f9901,TCGA-BH-A1F2-11A-32R-A13Q-07
f6392b6f-24d9-4768-8269-c7c647f8ff8c,TCGA-A2-A0YH-01A-11R-A109-07
0682b5b9-8529-4152-b6f9-1a13180eedee,TCGA-D8-A3Z6-01A-11R-A239-07
1dacccf9-58ae-490f-9f3f-31c82f93b3b8,TCGA-AN-A0FW-01A-11R-A034-07
dad6be14-a519-478d-9f53-122417453a0e,TCGA-MS-A51U-01A-31R-A266-07
65582670-1c71-4606-91b5-a886144fdfa6,TCGA-E9-A1NA-11A-33R-A144-07
0648c6fc-df6d-450a-a5a0-e5655febbdf1,TCGA-E2-A14N-01A-31R-A137-07
7f2773df-bece-43e0-94ff-46ba7dcf713e,TCGA-A8-A06O-01A-11R-A00Z-07
435f3fbf-5c8f-4800-bff4-3b4d5f9daf2e,TCGA-GM-A3XL-01A-11R-A22U-07
da7f48b2-3bed-4824-8de7-187d0b22f54d,TCGA-C8-A1HF-01A-11R-A137-07
0ebdafd5-54fe-4804-a060-a5a659b6e53d,TCGA-BH-A0C1-01B-12D-A75X-36
8053c482-17e6-4880-8ba4-1db214f6410f,TCGA-EW-A1PD-01A-11D-A141-01
64a76c0f-0b97-4ca9-94f0-dfb8abdf0980,TCGA-C8-A12P-10A-01D-A113-01
48a6183b-23f8-4969-b1dc-67fc0a46342c,TCGA-A8-A09V-10A-01D-A037-01
f7a84e7e-c0de-4fc8-8b2d-12486f4f1355,TCGA-E2-A105-10A-01D-A10L-01
c35de7c2-7778-48b3-ae4e-35c088fc77a2,TCGA-AR-A2LO-01A-31D-A19G-01
e72476d6-ebb8-4f55-b1e7-dc901eb72fc9,TCGA-D8-A1X8-10A-01D-A898-36
dce2ff82-0c23-441b-bb96-80850c911dfd,TCGA-C8-A1HE-01A-11D-A896-36
88537ceb-8694-4c8b-827d-396026ec9d13,TCGA-AR-A0TY-10A-01D-A893-36
f7619693-b880-408e-8be5-f266f61a403e,TCGA-AR-A2LO-01A-31R-A18M-07
d9873a66-93d2-40bf-b132-8d334ad10d3b,TCGA-D8-A27M-01A-11D-A16C-01
42bf45ad-45c2-4705-bb7c-05e8f9e8d790,TCGA-BH-A18J-01A-11D-A12A-01
0ed77a2e-a2c9-4557-8ba3-2c8bade9b792,TCGA-A2-A04U-01A-11R-A115-07
f820e4e9-1c8b-45d1-9649-1ac805ab4401,TCGA-D8-A1JL-10A-01D-A13N-01
57810fd8-851f-4a71-98ed-32a300046726,TCGA-EW-A6SA-01A-21D-A89E-36
3d69e7e4-5eac-4353-8987-28929675afbe,TCGA-AR-A1AX-10A-01D-A12N-01
d7a48283-c113-4745-be6b-553966e6b457,TCGA-A7-A0DB-11A-33R-A089-07
4aec7423-607c-482b-acd9-b89e993ae4c7,TCGA-E2-A156-01A-11D-A314-09
ef2b4e98-6a7f-47c5-90f5-d5f0f314d5e3,TCGA-AN-A03Y-01A-21D-A89H-36
032a993b-e441-488b-917c-a3df9053811b,TCGA-S3-A6ZH-01A-22D-A32H-01
8377db93-3171-4dc5-846b-213accb01e47,TCGA-A2-A3XS-01A-11D-A22W-01
be949d2f-565c-443c-8454-02d8a9202c9a,TCGA-AR-A1AT-10A-01D-A12N-01
dcec367f-031c-422d-bb9c-abf1fe0e5814,TCGA-OL-A5D7-10A-01D-A27O-01
13559d46-bcc4-4b1d-9ccc-5e93d28e05ea,TCGA-B6-A0RQ-10A-01D-A113-01
6de931fb-8f10-48e4-afe6-a53a317db45a,TCGA-A2-A25A-10A-01D-A16C-01
47b6894f-7a18-4ba3-9e3f-a9a5164b0df5,TCGA-D8-A1XW-01A-11D-A14J-01
f017a16e-1e80-48c0-92f1-f513ffa40197,TCGA-AN-A0XR-01A-11D-A894-36
b0573c66-30a9-420a-a7d3-7c09f6abb53d,TCGA-E2-A15F-01A-11D-A111-01
